abbreviated_name,dtype,isdate,used
PID,object,0,False
LID,object,0,True
MRP,object,1,True
CHANNEL,object,0,True
SELLER,object,0,True
SERVICER,object,0,False
MSERVICER,object,0,False
ORATE,np.float64,0,True
CRATE,np.float64,0,True
OUPB,np.float64,0,True
UPBI,np.float64,0,False
CAUPB,np.float64,0,False
OLTERM,np.float64,0,True
ODATE,object,1,True
FPD,object,1,True
LA,np.float64,0,True
TMTLM,np.float64,0,True
RMTM,np.float64,0,True
MDATE,object,0,True
LOTV,np.float64,0,True
CLTV,np.float64,0,True
NB,np.float64,0,True
DTI,np.float64,0,True
BCSAO,np.float64,0,True
CBCSAO,np.float64,0,True
FTHBI,object,0,True
LP ,object,0,True
PTYPE,object,0,True
NUNITS,np.float64,0,True
OCCSTAT,object,0,True
STATE,object,0,True
MSA,object,0,True
ZIP,object,0,True
MIP,np.float64,0,True
ATYPE,object,0,False
PPI,object,0,False
IOLI,object,0,False
IOFPAIPD,object,1,False
MTA,np.float64,0,False
CLDS,object,0,True
LPH,object,0,False
MFLAG,object,0,False
MICI,object,0,False
ZBC,object,0,False
ZBED,object,1,False
UPBTR,np.float64,0,False
RDATE,object,1,False
SPC,np.float64,0,False
TPC,np.float64,0,False
UPC,np.float64,0,False
LPID,object,1,False
FDATE,object,1,False
DDATE,object,1,False
FCOST,np.float64,0,False
PPARC,np.float64,0,False
ARC,np.float64,0,False
MHEC,np.float64,0,False
ASHP,np.float64,0,False
NTP,np.float64,0,False
CEP,np.float64,0,False
PMWP,np.float64,0,False
OFP,np.float64,0,False
NIRUPB,np.float64,0,False
PFA,np.float64,0,False
OLSD,object,1,False
OLP,np.float64,0,False
CLSD,object,1,False
CLP,np.float64,0,False
BCSAI,np.float64,0,False
COCSAI,np.float64,0,False
BCSC,np.float64,0,False
CBCSC,np.float64,0,False
MIT,object,0,True
SAI,object,0,False
CPMLA,np.float64,0,False
CMLA,np.float64,0,False
CPCENGL,np.float64,0,False
CCENGL,np.float64,0,False
HRPI,object,0,False
FPWA,np.float64,0,False
RMI,object,0,True
ZBCCD,object,1,False
LHI,object,0,False
LHED,object,1,False
DAI,np.float64,0,False
PVM,object,0,False
HBLI,object,0,False
IFPLT5YR,object,0,False
APT,object,0,False
IFRP,np.float64,0,False
IRAF,np.float64,0,False
NIRAD,object,1,False
NPCD,object,1,False
INDEX,object,0,False
ACS,object,0,False
IIRCUP,np.float64,0,False
PIRCUP,np.float64,0,False
LIRCUP,np.float64,0,False
MM,np.float64,0,False
ARMBI,object,0,False
ARMPN,np.float64,0,False
BAP,object,0,False
HLVRO,object,0,False
DNAME,object,0,False
RMWPF,object,0,False
ADR,object,0,False
ADRC,np.float64,0,False
TDA,np.float64,0,False
